depth,rdeep_win_pct,retries
618,90.10,0
619,90.70,0
620,91.10,0
621,91.70,0
622,91.20,0
623,92.20,0
624,92.60,0
625,91.40,0
626,92.10,0
627,93.00,0
628,92.80,0
629,91.30,0
630,91.10,0
631,91.00,0
632,90.30,0
633,91.70,0
634,92.20,0
635,92.50,0
636,92.40,0
637,92.20,0
638,90.90,0
639,90.60,0
640,92.50,0
641,91.70,0
642,92.20,0
643,92.60,0
644,91.50,0
645,91.20,0
646,92.80,0
647,93.60,0
648,91.60,0
649,91.50,0
650,91.50,0
651,93.90,0
652,93.50,0
653,90.80,0
654,92.10,0
655,92.90,0
656,91.30,0
657,92.70,0
658,91.00,0
659,92.90,0
660,91.60,0
661,91.40,0
662,91.20,0
663,92.10,0
664,90.70,0
665,91.10,0
666,91.10,0
667,92.10,0
668,93.10,0
669,90.00,0
670,92.90,0
671,92.30,0
672,92.30,0
673,91.70,0
674,91.00,0
675,90.00,0
676,92.60,0
677,91.70,0
678,92.00,0
679,92.10,0
680,91.60,0
681,92.90,0
682,90.70,0
683,91.20,0
684,91.50,0
685,93.60,0
686,92.30,0
687,91.90,0
688,92.90,0
689,91.80,0
690,91.80,0
691,89.70,0
692,91.20,0
693,90.80,0
694,92.60,0
695,93.40,0
696,91.80,0
697,90.90,0
698,94.40,0
699,92.60,0
700,90.70,0
701,92.40,0
702,91.80,0
703,91.20,0
704,92.60,0
705,91.90,0
706,92.70,0
707,91.00,0
708,92.00,0
709,91.60,0
710,91.90,0
711,92.60,0
712,92.00,0
713,91.70,0
714,92.30,0
715,92.50,0
716,91.90,0
717,93.30,0
718,92.10,0
719,90.60,0
720,91.30,0
721,91.60,0
722,91.50,0
723,92.30,0
724,92.00,0
725,91.00,0
726,92.50,0
727,92.00,0
728,92.50,0
729,89.50,0
730,92.50,0
731,90.60,0
732,92.70,0
733,91.80,0
734,92.20,0
735,91.70,0
736,92.70,0
737,92.70,0
738,89.90,0
739,93.80,0
740,91.80,0
741,92.40,0
742,91.30,0
743,93.30,0
744,90.50,0
745,91.80,0
746,92.70,0
747,91.50,0
748,91.10,0
749,91.80,0
750,93.60,0
751,92.20,0
752,92.20,0
753,91.80,0
754,91.90,0
755,92.70,0
756,90.70,0
757,91.00,0
758,91.80,0
759,90.80,0
760,93.00,0
761,92.80,0
762,90.90,0
