depth,rdeep_win_pct,retries
527,84.10,0
528,82.10,0
529,82.50,0
530,81.40,0
531,82.80,0
532,84.00,0
533,83.00,0
534,85.50,0
535,81.90,0
536,85.10,0
537,81.40,0
538,80.80,0
539,80.60,0
540,82.10,0
541,81.10,0
542,83.50,0
543,83.30,0
544,83.30,0
545,84.60,0
546,82.70,0
547,84.00,0
548,84.10,0
549,80.70,0
550,83.40,0
551,80.60,0
552,85.10,0
553,82.80,0
554,81.80,0
555,83.60,0
556,83.60,0
557,82.20,0
558,82.50,0
559,85.20,0
560,81.50,0
561,82.20,0
562,86.00,0
563,83.10,0
564,83.30,0
565,83.00,0
566,80.90,0
567,82.30,0
568,85.00,0
569,81.30,0
570,82.90,0
571,82.90,0
572,84.90,0
573,82.20,0
574,82.70,0
575,85.30,0
576,84.10,0
577,81.40,0
578,84.50,0
579,82.00,0
580,83.80,0
581,83.40,0
582,83.30,0
583,84.20,0
584,82.90,0
585,84.90,0
586,82.70,0
587,83.00,0
588,82.30,0
589,82.00,0
590,83.60,0
591,83.00,0
592,83.20,0
593,81.20,0
594,82.70,0
595,82.30,0
596,82.20,0
597,83.60,0
598,84.30,0
599,83.20,0
600,86.50,0
601,82.70,0
602,81.90,0
603,84.40,0
604,82.00,0
605,81.40,0
606,81.40,0
607,82.50,0
608,84.10,0
609,82.90,0
610,82.80,0
611,84.70,0
612,82.60,0
613,81.50,0
614,83.80,0
615,82.20,0
616,85.20,0
617,81.30,0
618,83.60,0
619,82.80,0
620,83.20,0
621,84.20,0
622,84.70,0
623,83.00,0
624,81.80,0
625,85.20,0
626,82.30,0
627,83.40,0
628,82.80,0
629,83.70,0
630,85.00,0
631,83.10,0
632,83.50,0
633,83.30,0
634,84.00,0
635,82.40,0
636,83.10,0
637,83.40,0
638,83.00,0
639,83.60,0
640,82.20,0
641,83.80,0
642,83.10,0
643,82.70,0
644,85.60,0
645,79.00,0
646,83.90,0
647,82.70,0
648,86.40,0
649,81.40,0
650,83.50,0
651,83.50,0
652,82.80,0
653,82.60,0
654,82.70,0
655,84.10,0
656,82.30,0
657,83.30,0
658,81.90,0
659,83.10,0
660,82.40,0
661,82.20,0
662,83.70,0
663,83.00,0
664,85.00,0
665,82.60,0
666,83.50,0
667,83.60,0
668,82.40,0
669,84.40,0
670,82.60,0
671,81.30,0
672,84.80,0
673,83.00,0
674,82.40,0
675,82.90,0
676,84.10,0
677,83.80,0
678,82.10,0
679,84.00,0
680,82.40,0
681,84.00,0
682,81.20,0
683,84.70,0
684,81.00,0
685,85.10,0
686,84.10,0
687,82.80,0
688,84.40,0
689,81.70,0
690,83.00,0
691,84.20,0
692,84.10,0
693,83.40,0
694,83.80,0
695,84.70,0
696,83.30,0
697,84.70,0
698,82.70,0
699,83.30,0
700,83.10,0
701,79.70,0
702,83.00,0
703,83.10,0
704,82.00,0
705,82.40,0
706,80.20,0
707,81.00,0
708,82.60,0
709,80.80,0
710,84.20,0
711,81.40,0
712,82.30,0
713,82.30,0
714,84.60,0
715,85.10,0
716,81.60,0
717,83.60,0
718,83.20,0
719,83.00,0
720,81.80,0
721,82.10,0
722,86.20,0
723,82.90,0
724,82.90,0
725,84.70,0
726,84.70,0
727,84.80,0
728,82.30,0
729,83.10,0
730,84.10,0
731,82.90,0
732,83.90,0
733,83.20,0
734,82.00,0
735,82.00,0
736,84.40,0
737,82.20,0
738,82.70,0
739,82.80,0
740,82.60,0
741,81.50,0
742,83.90,0
743,82.00,0
744,83.10,0
745,84.00,0
746,81.90,0
747,84.40,0
748,85.40,0
749,83.30,0
750,84.00,0
751,84.00,0
752,82.70,0
753,82.30,0
754,84.50,0
755,81.00,0
756,83.00,0
757,84.10,0
758,83.30,0
759,83.90,0
760,83.40,0
761,83.70,0
762,84.20,0
763,84.10,0
764,83.60,0
765,82.00,0
766,84.10,0
767,82.90,0
768,80.70,0
769,85.80,0
770,84.70,0
771,82.10,0
772,83.00,0
773,81.20,0
774,84.00,0
775,83.30,0
776,83.90,0
777,84.20,0
778,83.70,0
779,81.90,0
780,82.20,0
781,83.70,0
782,85.20,0
783,83.30,0
784,84.20,0
785,82.80,0
786,83.40,0
787,83.00,0
788,84.70,0
789,82.40,0
790,84.40,0
791,84.60,0
792,81.70,0
793,86.10,0
794,83.80,0
795,82.40,0
796,83.40,0
797,83.00,0
798,82.20,0
799,82.70,0
800,82.50,0
801,81.90,0
802,82.80,0
803,82.60,0
804,85.00,0
805,83.00,0
806,83.80,0
807,84.10,0
808,83.70,0
809,82.60,0
810,83.40,0
811,85.10,0
812,83.30,0
813,83.00,0
814,83.90,0
815,84.20,0
816,81.50,0
817,82.60,0
818,84.10,0
819,84.10,0
820,80.00,0
821,83.30,0
822,83.20,0
823,82.90,0
824,82.30,0
825,83.00,0
826,82.10,0
827,83.60,0
828,83.80,0
829,85.20,0
830,79.70,0
831,82.90,0
832,82.00,0
833,84.10,0
834,81.90,0
835,84.10,0
836,84.20,0
837,83.50,0
838,81.40,0
839,82.50,0
840,82.50,0
841,84.10,0
842,84.60,0
843,83.50,0
844,83.20,0
845,83.20,0
846,83.60,0
847,83.00,0
848,84.50,0
849,83.30,0
850,83.20,0
851,82.60,0
852,81.10,0
853,83.70,0
854,83.20,0
855,83.20,0
856,82.70,0
857,82.70,0
858,82.70,0
859,83.20,0
860,82.30,0
861,83.00,0
862,81.90,0
863,82.40,0
864,84.00,0
865,84.80,0
866,81.70,0
867,83.80,0
868,83.20,0
869,83.80,0
870,84.40,0
871,84.10,0
872,84.20,0
873,81.40,0
874,85.80,0
875,83.10,0
876,82.60,0
877,85.70,0
878,84.30,0
879,83.10,0
880,84.10,0
881,84.40,0
882,82.60,0
883,82.80,0
884,82.60,0
885,82.50,0
886,82.20,0
887,81.60,0
888,81.80,0
889,84.40,0
890,83.80,0
891,83.40,0
892,83.10,0
893,82.20,0
894,82.60,0
895,82.90,0
896,81.60,0
897,83.10,0
898,83.60,0
899,82.00,0
900,84.40,0
901,83.90,0
902,83.50,0
903,82.10,0
904,83.30,0
905,81.60,0
906,82.80,0
907,83.90,0
908,81.80,0
909,82.90,0
910,82.30,0
911,84.20,0
912,82.60,0
913,82.20,0
914,82.00,0
915,82.60,0
916,83.20,0
917,83.90,0
918,82.30,0
919,83.80,0
920,82.90,0
921,85.30,0
922,82.40,0
923,82.40,0
924,82.40,0
925,85.70,0
926,83.00,0
927,86.30,0
928,82.90,0
929,82.20,0
930,84.40,0
931,85.50,0
932,81.30,0
933,85.40,0
934,82.40,0
935,82.80,0
936,83.30,0
937,81.30,0
938,82.40,0
939,83.50,0
940,84.20,0
941,84.50,0
942,83.40,0
943,83.40,0
944,82.80,0
945,80.50,0
946,83.90,0
947,81.80,0
948,83.00,0
949,85.30,0
950,82.10,0
951,83.20,0
952,83.60,0
953,82.80,0
954,84.00,0
955,83.50,0
956,83.40,0
957,83.30,0
958,82.30,0
959,84.30,0
960,83.00,0
961,82.00,0
962,83.80,0
963,84.00,0
964,82.20,0
965,83.90,0
966,84.00,0
967,82.00,0
968,83.70,0
969,83.40,0
970,85.80,0
971,82.60,0
972,84.70,0
973,82.60,0
974,82.10,0
975,82.00,0
976,81.80,0
977,84.50,0
978,85.90,0
979,83.20,0
980,84.90,0
981,83.10,0
982,84.50,0
983,81.80,0
984,82.40,0
985,82.10,0
986,82.80,0
987,82.70,0
988,84.00,0
989,83.20,0
990,83.90,0
991,80.60,0
992,83.30,0
993,82.90,0
994,83.80,0
995,85.10,0
996,83.90,0
997,83.00,0
998,83.10,0
999,83.10,0
1000,83.30,0
